tau_N_per_m,sigma_Pa,radius_m,rho_s_kg_per_m2,f_01_Hz,f_11_Hz,f_21_Hz,f_02_Hz
14521.155778894474,76427135.67839196,0.15,0.266,596.172892733667,949.9064183864464,1273.156297698324,1368.4655523541655
14596.582914572866,76824120.60301508,0.15,0.266,597.7192355930016,952.3702690999074,1276.458588315288,1372.0150544548483
14672.010050251258,77221105.5276382,0.15,0.266,599.2615882611999,954.8277620802056,1279.7523576844123,1375.5553974018965
14747.437185929648,77618090.4522613,0.15,0.266,600.7999814686993,957.2789462913917,1283.0376714320457,1379.0866517344868
14822.86432160804,78015075.37688442,0.15,0.266,602.3344455535008,959.7238700722312,1286.314594346469,1382.6088870909903
14898.291457286432,78412060.30150753,0.15,0.266,603.8650104681485,962.1625811473259,1289.5831903928013,1386.1221722249938
14973.718592964824,78809045.22613065,0.15,0.266,605.3917057865517,964.5951266379838,1292.8435227275688,1389.6265750209602
15049.145728643216,79206030.15075377,0.15,0.266,606.9145607106527,967.0215530728422,1296.0956537129443,1393.1221625095313
15124.572864321608,79603015.07537688,0.15,0.266,608.4336040769431,969.441906398251,1299.3396449306622,1396.6090008824883
15200.0,80000000.0,0.15,0.266,609.9488643628349,971.8562319884247,1302.5755571956254,1400.0871555073745
